Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baby-onesie-cotton,Baby Cotton Onesie,<p>Soft and comfortable 100% organic cotton onesie perfect for your little one. Features snap buttons for easy diaper changes and breathable fabric to keep baby cool and comfortable all day long.</p>,Baby Basics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby One-Pieces,Clothing,"baby, cotton, newborn, onesie, organic",true,Size,Newborn,,Color,White,,,,,BB-ONESIE-NB-WHT,200.0,shopify,deny,manual,15.99,19.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/baby-cotton-onesie.png?v=1770181696,1,Baby Cotton Onesie,false,Baby Cotton Onesie - Soft Organic Newborn Clothing,Premium organic cotton onesie for newborns. Hypoallergenic and gentle on baby's sensitive skin.,,,,kg,,,active
baby-onesie-cotton,,,,,,,,,Newborn,,,Pink,,,,,BB-ONESIE-NB-PNK,200.0,shopify,deny,manual,15.99,19.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-onesie-cotton,,,,,,,,,Newborn,,,Blue,,,,,BB-ONESIE-NB-BLU,200.0,shopify,deny,manual,15.99,19.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-onesie-cotton,,,,,,,,,3-6 Months,,,White,,,,,BB-ONESIE-3M-WHT,220.0,shopify,deny,manual,17.99,21.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-onesie-cotton,,,,,,,,,3-6 Months,,,Pink,,,,,BB-ONESIE-3M-PNK,220.0,shopify,deny,manual,17.99,21.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-onesie-cotton,,,,,,,,,3-6 Months,,,Blue,,,,,BB-ONESIE-3M-BLU,220.0,shopify,deny,manual,17.99,21.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-pacifier-set,Orthodontic Pacifier Set,<p>Designed by pediatric dentists to support healthy oral development. Soft silicone dishwasher safe and includes protective case. Set of 3 pacifiers.</p>,Tiny Teeth,Uncategorized,Accessories,"baby, orthodontic, pacifier, silicone",true,Age,0-6 Months,,,,,,,,BB-PACI-0M-SET,100.0,shopify,deny,manual,9.99,12.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/orthodontic-pacifier-set.png?v=1770180054,1,Orthodontic Pacifier Set,false,Orthodontic Pacifier Set - Dentist Approved for Babies,Gentle on gums and supports proper teeth development.,,,,kg,,,active
baby-pacifier-set,,,,,,,,,6-18 Months,,,,,,,,BB-PACI-6M-SET,100.0,shopify,deny,manual,9.99,12.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-romper-summer,Summer Breathable Romper,<p>Lightweight cotton romper perfect for warm weather. Features easy snap closures and adorable prints. Keeps baby comfortable during hot summer days.</p>,Summer Baby,Uncategorized,Clothing,"baby, cotton, lightweight, romper, summer",true,Size,0-3 Months,,Color,Yellow Stripe,,,,,BB-ROMP-0M-YEL,180.0,shopify,deny,manual,14.99,18.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/for-baby.png?v=1770180870,1,for baby,false,Summer Baby Romper - Breathable Cotton for Warm Days,Adorable and comfortable summer outfit for your little one.,,,,kg,,,active
baby-romper-summer,,,,,,,,,0-3 Months,,,Mint Green,,,,,BB-ROMP-0M-MNT,180.0,shopify,deny,manual,14.99,18.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-romper-summer,,,,,,,,,6-9 Months,,,Yellow Stripe,,,,,BB-ROMP-6M-YEL,200.0,shopify,deny,manual,16.99,20.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-romper-summer,,,,,,,,,6-9 Months,,,Mint Green,,,,,BB-ROMP-6M-MNT,200.0,shopify,deny,manual,16.99,20.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-sleep-sack,Wearable Sleep Sack,<p>Safe alternative to loose blankets in the crib. Sleeveless design with 2-way zipper for easy diaper changes. TOG rating 2.5 for year-round comfort.</p>,DreamSafe Baby,Uncategorized,Bedding,"baby, safe sleep, sleep sack, wearable blanket",true,Size,Small (0-6M),,Color,Gray Stars,,,,,BB-SLEEP-SM-GRAY,300.0,shopify,deny,manual,27.99,34.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/wearable-sleep-sack.png?v=1770179965,1,Wearable Sleep Sack,false,Wearable Baby Sleep Sack - Safe Sleep Solution,Keep baby warm and safe during sleep with this cozy sleep sack.,,,,kg,,,active
baby-sleep-sack,,,,,,,,,Small (0-6M),,,Pink Clouds,,,,,BB-SLEEP-SM-PINK,300.0,shopify,deny,manual,27.99,34.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-sleep-sack,,,,,,,,,Medium (6-12M),,,Gray Stars,,,,,BB-SLEEP-MD-GRAY,350.0,shopify,deny,manual,29.99,36.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-sleep-sack,,,,,,,,,Medium (6-12M),,,Pink Clouds,,,,,BB-SLEEP-MD-PINK,350.0,shopify,deny,manual,29.99,36.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-teething-toys,Silicone Teething Toys Set,<p>100% food-grade silicone teething toys to soothe sore gums. Freezer-safe easy to grip and BPA-free. Set includes 3 different shapes and textures.</p>,Little Chompers,Baby & Toddler > Baby Health > Pacifiers & Teethers > Teethers,Toys,"baby, bpa-free, silicone, teething, toys",true,Title,Default Title,,,,,,,,BB-TEETH-SET-001,150.0,shopify,deny,manual,12.99,15.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/silicone-teething-toys-set.png?v=1770181105,1,Silicone Teething Toys Set,false,Silicone Teething Toys - Safe & Soothing for Baby,Gentle relief for teething babies. Safe materials parents can trust.,,,,kg,,,active
gift-card,Gift Card,This is a gift card for the store,Snowboard Vendor,Gift Cards,giftcard,"",true,Denominations,$10,,,,,,,,,0.0,shopify,deny,gift_card,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/gift_card.png?v=1770178970,1,Gift card that shows text: Generated data gift card,true,,,,,,kg,,,active
gift-card,,,,,,,,,$25,,,,,,,,,0.0,shopify,deny,gift_card,25.00,,false,false,,,,,,,,,,,,,,,kg,,,
gift-card,,,,,,,,,$50,,,,,,,,,0.0,shopify,deny,gift_card,50.00,,false,false,,,,,,,,,,,,,,,kg,,,
gift-card,,,,,,,,,$100,,,,,,,,,0.0,shopify,deny,gift_card,100.00,,false,false,,,,,,,,,,,,,,,kg,,,
selling-plans-ski-wax,Selling Plans Ski Wax,,Zara,,accessories,"Accessory, Sport, Winter",true,Title,Selling Plans Ski Wax,,,,,,,,,56.69904625,shopify,deny,manual,24.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/snowboard_wax.png?v=1770178970,1,A bar of golden yellow wax,false,,,,,,oz,,,active
selling-plans-ski-wax,,,,,,,,,Special Selling Plans Ski Wax,,,,,,,,,70.8738078125,shopify,deny,manual,49.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/wax-special.png?v=1770178971,2,A bar of purple wax,,,,,,,oz,,,
selling-plans-ski-wax,,,,,,,,,Sample Selling Plans Ski Wax,,,,,,,,,14.1747615625,shopify,deny,manual,9.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/sample-normal-wax.png?v=1770178970,3,a small cube of wax,,,,,,,oz,,,
the-3p-fulfilled-snowboard,The 3p Fulfilled Snowboard,,Zara,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,sku-hosted-1,0.0,shopify,deny,manual,2629.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1770178971,1,"Top and bottom view of a snowboard. The top view shows 7 stacked hexagons and the bottom view
          shows a small, centred hexagonal logo for Hydrogen.",false,,,,,,kg,,,active
the-archived-snowboard,The Archived Snowboard,,Snowboard Vendor,,snowboard,"Archived, Premium, Snow, Snowboard, Sport, Winter",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,629.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1770178971,1,"The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple
        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.",false,,,,,,kg,,,archived
the-collection-snowboard-hydrogen,The Collection Snowboard: Hydrogen,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_0a40b01b-5021-48c1-80d1-aa8ab4876d3d.jpg?v=1770178970,1,"Top and bottom view of a snowboard. The top view shows stylized hydrogen bonds and the bottom view shows ""H2"" in a brush script typeface.",false,,,Optimistic,,,kg,,,active
the-collection-snowboard-liquid,The Collection Snowboard: Liquid,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,749.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_b13ad453-477c-4ed1-9b43-81f3345adfd6.jpg?v=1770178972,1,"Top and bottom view of a snowboard. The top view shows a stylized scene of water, trees, mountains, sky and a moon in blue colours. The bottom view has a blue liquid, drippy background with the text ""liquid"" in a stylized script typeface.",false,,,Optimistic,,,kg,,,active
the-collection-snowboard-oxygen,The Collection Snowboard: Oxygen,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,1025.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_d624f226-0a89-4fe1-b333-0d1548b43c06.jpg?v=1770178971,1,"Top and bottom view of a snowboard. The top view shows a stylized scene of trees, mountains, sky and a sun in red colours. The bottom view has blue wavy lines in the background with the text ""Oxygen"" in a stylized script typeface.",false,,,Optimistic,,,kg,,,active
the-compare-at-price-snowboard,The Compare at Price Snowboard,,Zara,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,785.95,885.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/snowboard_sky.png?v=1770178970,1,"Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being
        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple
        colours.",false,,,,,,kg,,,active
the-complete-snowboard,The Complete Snowboard,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER</b><i>DUPER</i> awesome!,Snowboard Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",true,Color,Ice,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1770178970,1,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",false,Complete Snowboard,snowboard winter sport snowboarding,,159.0cm,,lb,,,active
the-complete-snowboard,,,,,,,,,Dawn,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,lb,,,
the-complete-snowboard,,,,,,,,,Powder,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,lb,,,
the-complete-snowboard,,,,,,,,,Electric,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,lb,,,
the-complete-snowboard,,,,,,,,,Sunset,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,lb,,,
the-draft-snowboard,The Draft Snowboard,,Snowboard Vendor,,snowboard,"",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,2629.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1770178970,1,"Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,
          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay.",false,,,,,,kg,,,draft
the-hidden-snowboard,The Hidden Snowboard,,Snowboard Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,749.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1770178970,1,"The top view and bottom view of a snowboard. The top view is black with a singular peach cube.
        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach.",false,Hidden Snowboard,hidden snowboard winter sport snowboarding,,,,kg,,,active
the-inventory-not-tracked-snowboard,The Inventory Not Tracked Snowboard,,Zara,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,sku-untracked-1,0.0,,deny,manual,949.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/snowboard_purple_hydrogen.png?v=1770178971,1,"Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that
          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an
          abstract angular grid in purples.",false,,,,,,kg,,,active
the-minimal-snowboard,The Minimal Snowboard,,Zara,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,885.95,,true,true,,,,,,,,,false,,,,,,kg,,,active
the-multi-location-snowboard,The Multi-location Snowboard,,Zara,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,729.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_0a4e9096-021a-4c1e-8750-24b233166a12.jpg?v=1770178970,1,"Top and bottom view of a snowboard. The top view shows a pixelated Shopify bag logo and a
        pixelated character reviewing a clipboard with a questioning expression with a bright green-blue background.
        The bottom view is a pattern of many pixel characters with a bright green-blue background.",false,,,,,,kg,,,active
the-multi-managed-snowboard,The Multi-managed Snowboard,,Multi-managed Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",true,Title,Default Title,,,,,,,,sku-managed-1,0.0,shopify,deny,manual,629.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_9129b69a-0c7b-4f66-b6cf-c4222f18028a.jpg?v=1770178971,1,"Top and bottom view of a snowboard. The top view shows an illustration with varied outlined shapes
        in black. The bottom view shows a black box character with an H pointing, and surrounded by black outlined
        illustrative elements.",false,,,,159.0cm,,kg,,,active
the-out-of-stock-snowboard,The Out of Stock Snowboard,,Zara,,snowboard,"Accessory, Sport, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,885.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1770178970,1,"Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and
        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows.",false,,,,,,kg,,,active
the-videographer-snowboard,The Videographer Snowboard,,Zara,,snowboard,"",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,885.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/Main.jpg?v=1770178970,1,"The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of
        trees. The bottom view is turquoise with the word hydrogen written in cursive.",false,,,,,,kg,,,active
